"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"BAN_VBAT","BANANA_10MM_STRAIGHT","200.5124mm","126.8516mm","200.5124mm","126.8516mm","200.5124mm","126.8516mm","T","0.00","BANANA 10MM_STRAIGHT_YELLOW"
"BAN_VCC","BANANA_10MM_STRAIGHT","202.0364mm","148.4416mm","202.0364mm","148.4416mm","202.0364mm","148.4416mm","T","0.00","BANANA 10MM_STRAIGHT_RED"
"RZ50","R1206","117.4544mm","141.3296mm","117.4544mm","141.3296mm","115.7399mm","141.3296mm","T","360.00","51R_1206_0.25W_1%"
"C43","SMD","170.7944mm","123.0416mm","170.7944mm","123.0416mm","173.9944mm","123.0416mm","T","180.00","22UF/20V TANTAL SMD D"
"SPACER1","SPACER_20/M4","205.44mm","186.44mm","205.44mm","186.44mm","205.44mm","186.44mm","T","0.00","SPACER_20/M4"
"SPACER2","SPACER_20/M4","114mm","186.44mm","114mm","186.44mm","114mm","186.44mm","T","0.00","SPACER_20/M4"
"SPACER3","SPACER_20/M4","205.44mm","95mm","205.44mm","95mm","205.44mm","95mm","T","0.00","SPACER_20/M4"
"SPACER4","SPACER_20/M4","114mm","95mm","114mm","95mm","114mm","95mm","T","0.00","SPACER_20/M4"
"C7","CAP0805","156.4399mm","116.4492mm","156.4399mm","116.4491mm","157.3326mm","116.7741mm","T","200.00","100NF_0805_50V_X7R"
"C5","CAP0805","151.6983mm","125.1042mm","151.6982mm","125.1042mm","152.591mm","125.4291mm","B","200.00","100NF_0805_50V_X7R"
"C4","CAP0805","151.6983mm","125.1042mm","151.6983mm","125.1042mm","152.591mm","125.4291mm","T","200.00","100NF_0805_50V_X7R"
"C41","CAP0805","189mm","127.975mm","189mm","127.975mm","189.95mm","127.975mm","B","180.00","1.0NF_0805_50V_X7R"
"R18","R0805","155.0397mm","166.956mm","155.0397mm","166.956mm","154.7182mm","166.0728mm","B","70.00","1.0K_0805_0.1W_1%"
"R39","R0805","194.4164mm","155.8076mm","194.4164mm","155.8076mm","195.1862mm","156.3467mm","B","215.00","10K_0805_0.1W_1%"
"R28","R0805","170.2864mm","138.2156mm","170.2864mm","138.2156mm","169.3466mm","138.2156mm","B","360.00","1.0K_0805_0.1W_1%"
"R29","R0805","173.775mm","137.25mm","173.775mm","137.25mm","173.775mm","136.3102mm","B","90.00","10K_0805_0.1W_1%"
"R42","R0805","193.1464mm","163.9356mm","193.1464mm","163.9356mm","192.6073mm","164.7054mm","B","305.00","1.0K_0805_0.1W_1%"
"R41","R0805","190.6064mm","167.2376mm","190.6064mm","167.2376mm","191.3762mm","167.7766mm","B","215.00","1.0K_0805_0.1W_1%"
"R40","R0805","189.0824mm","169.5236mm","189.0824mm","169.5236mm","189.8522mm","170.0626mm","B","215.00","1.0K_0805_0.1W_1%"
"L2","FERRITE_15MMX6.3MM_H","172.175mm","115.125mm","179.675mm","115.125mm","179.675mm","115.125mm","B","180.00","FERRITE_6-HOLES"
"L4","FERRITE_15MMX6.3MM_H","182.1993mm","157.5213mm","184.7644mm","150.4736mm","184.7644mm","150.4736mm","B","110.00","FERRITE_6-HOLES"
"O1","SOIC8","188.6407mm","159.0077mm","189.6703mm","162.0543mm","189.6703mm","162.0543mm","B","215.00","MOCD217"
"O2","SOIC8","185.1442mm","164.0013mm","186.1738mm","167.0478mm","186.1738mm","167.0478mm","B","215.00","MOCD217"
"C42","CAP0805","184.6mm","127.975mm","184.6mm","127.975mm","183.65mm","127.975mm","B","360.00","330PF_0805_50V_NP0"
"C45","CAP0805","188.725mm","145.025mm","188.725mm","145.025mm","187.775mm","145.025mm","B","360.00","330PF_0805_50V_NP0"
"R19","R0805","157.5864mm","171.0476mm","157.5864mm","171.0476mm","158.4695mm","170.7262mm","B","160.00","10K_0805_0.1W_1%"
"C44","CAP0805","193.1264mm","145.025mm","193.1264mm","145.025mm","194.0764mm","145.025mm","B","180.00","1.0NF_0805_50V_X7R"
"D2","MiniMELF","151.725mm","145.975mm","151.725mm","145.975mm","153.6046mm","145.975mm","B","180.00","LL4148_MINIMELF"
"D3","MiniMELF","193.818mm","121.7208mm","193.818mm","121.7208mm","195.1471mm","120.3917mm","B","135.00","LL4148_MINIMELF"
"L1","L1210","186.7964mm","124.5656mm","186.7964mm","124.5656mm","188.5109mm","124.5656mm","B","180.00","NLFV32T-470K-EF_47UH"
"C17","CAP0805","148.4399mm","113.6241mm","148.4399mm","113.6241mm","147.5472mm","113.2992mm","T","20.00","100NF_0805_50V_X7R"
"RZ51","R1206","120.6136mm","128.5861mm","120.6136mm","128.5861mm","120.0272mm","130.1972mm","T","290.00","51R_1206_0.25W_1%"
"X5","SMB_STRAIGHT","123.4945mm","121.2931mm","123.4945mm","121.2931mm","123.4945mm","121.2931mm","T","200.00","SMB-JACK"
"C2/D1","CAP1206","128.5386mm","113.0373mm","127.3263mm","114.2497mm","127.3263mm","114.2497mm","T","315.00","4,7NF_1206_50V_X7R"
"R2","R0805","133.1551mm","108.8291mm","133.1551mm","108.8291mm","132.4351mm","109.4332mm","T","320.00","0.0R_0805_0.1W"
"C6","NICHICON_UD_8X10","140.4422mm","102.739mm","140.4422mm","102.739mm","137.6845mm","105.0531mm","T","320.00","100UF/50V ELKO  NICHICON UD"
"R3","CAP0402","158.0171mm","122.5379mm","158.0171mm","122.5379mm","157.4204mm","122.3207mm","T","20.00","1.0k_0402_62.5mW"
"R5","CAP0402","142.6505mm","120.2119mm","142.6505mm","120.2119mm","142.8677mm","119.6152mm","T","110.00","1.0k_0402_62.5mW"

